OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
3,iterativefit,central,4,0.0,2.5,20.0,10000.0,-15.0,1.1,1.0
3,iterativefit,central,5,0.0,2.5,20.0,30.0,-15.0,0.0,1.2209362983703613
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.0,0.0660902645405944,1.2209362983703613
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.0660902645405944,0.2096063549892812,1.1286616905225029*(x-0.06609026454059445)*(x-0.06609026454059445)*(x-0.06609026454059445)-2.064682820036028*(x-0.06609026454059445)*(x-0.06609026454059445)+0.0*(x-0.06609026454059445)+1.2209362983703613
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.2096063549892812,0.2798105991921253,564.7666601016431*(x-0.20960635498928126)*(x-0.20960635498928126)*(x-0.20960635498928126)-59.49530872063713*(x-0.20960635498928126)*(x-0.20960635498928126)-0.5228897243901875*(x-0.20960635498928126)+1.1817466020584106
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.2798105991921253,0.3604014854475403,11.062356294233224*(x-0.27981059919212536)*(x-0.27981059919212536)*(x-0.27981059919212536)+1.9257883553269117*(x-0.27981059919212536)*(x-0.27981059919212536)-0.5259483738503966*(x-0.27981059919212536)+1.047222375869751
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.3604014854475403,0.4492122010906917,-259.619327629742*(x-0.3604014854475403)*(x-0.3604014854475403)*(x-0.3604014854475403)+34.585467422386785*(x-0.3604014854475403)*(x-0.3604014854475403)+0.0*(x-0.3604014854475403)+1.0231338739395142
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.4492122010906917,0.5509541816416097,130.24261078609612*(x-0.44921220109069177)*(x-0.44921220109069177)*(x-0.44921220109069177)-22.349767845085772*(x-0.44921220109069177)*(x-0.44921220109069177)+0.0*(x-0.44921220109069177)+1.114063024520874
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.5509541816416097,0.6510324002439012,-11.055831406872173*(x-0.5509541816416097)*(x-0.5509541816416097)*(x-0.5509541816416097)+2.676240173797587*(x-0.5509541816416097)*(x-0.5509541816416097)-0.5032272481694519*(x-0.5509541816416097)+1.0198792219161987
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.6510324002439012,0.7513465636899765,10.016356281432657*(x-0.6510324002439012)*(x-0.6510324002439012)*(x-0.6510324002439012)-0.6515077738737742*(x-0.6510324002439012)*(x-0.6510324002439012)-0.2997545580161039*(x-0.6510324002439012)+0.9852396249771118
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.7513465636899765,0.8529165168050303,-10.030573136308824*(x-0.7513465636899765)*(x-0.7513465636899765)*(x-0.7513465636899765)+1.4488772617145815*(x-0.7513465636899765)*(x-0.7513465636899765)-0.12808375459559795*(x-0.7513465636899765)+0.9587249755859375
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.8529165168050303,0.9706669606152184,11.698015082566156*(x-0.8529165168050303)*(x-0.8529165168050303)*(x-0.8529165168050303)-4.940504436100657*(x-0.8529165168050303)*(x-0.8529165168050303)-0.14419884397507376*(x-0.8529165168050303)+0.9501523375511169
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.9706669606152184,1.1,0.8837704658508301
3,iterativefit,central,5,0.0,2.5,30.0,50.0,-15.0,0.0,1.2782212495803833
3,iterativefit,central,5,0.0,2.5,30.0,50.0,0.0,0.0719099736766544,1.2782212495803833
3,iterativefit,central,5,0.0,2.5,30.0,50.0,0.0719099736766544,0.2294587509606029,-2.2478183345811176*(x-0.07190997367665443)*(x-0.07190997367665443)*(x-0.07190997367665443)+6.609573878213003*(x-0.07190997367665443)*(x-0.07190997367665443)-1.9152771068928276*(x-0.07190997367665443)+1.2782212495803833
3,iterativefit,central,5,0.0,2.5,30.0,50.0,0.2294587509606029,0.3001147561560872,-199.4196128786284*(x-0.22945875096060292)*(x-0.22945875096060292)*(x-0.22945875096060292)+21.135289805450743*(x-0.22945875096060292)*(x-0.22945875096060292)+0.0*(x-0.22945875096060292)+1.1317416429519653
3,iterativefit,central,5,0.0,2.5,30.0,50.0,0.3001147561560872,0.3799962507247034,474.54284880767705*(x-0.3001147561560872)*(x-0.3001147561560872)*(x-0.3001147561560872)-56.86078799940921*(x-0.3001147561560872)*(x-0.3001147561560872)+0.0*(x-0.3001147561560872)+1.1669126749038696
3,iterativefit,central,5,0.0,2.5,30.0,50.0,0.3799962507247034,0.4602020335090267,-185.4934368799549*(x-0.37999625072470344)*(x-0.37999625072470344)*(x-0.37999625072470344)+22.316469459466866*(x-0.37999625072470344)*(x-0.37999625072470344)+0.0*(x-0.37999625072470344)+1.045968770980835
3,iterativefit,central,5,0.0,2.5,30.0,50.0,0.4602020335090267,0.550941977954444,175.6688633924868*(x-0.4602020335090267)*(x-0.4602020335090267)*(x-0.4602020335090267)-23.910274357535773*(x-0.4602020335090267)*(x-0.4602020335090267)+0.0*(x-0.4602020335090267)+1.0938224792480469
3,iterativefit,central,5,0.0,2.5,30.0,50.0,0.550941977954444,0.6514124869092898,-34.9720250270348*(x-0.550941977954444)*(x-0.550941977954444)*(x-0.550941977954444)+5.84411588542506*(x-0.550941977954444)*(x-0.550941977954444)+0.0*(x-0.550941977954444)+1.0281988382339478
3,iterativefit,central,5,0.0,2.5,30.0,50.0,0.6514124869092898,0.7523250391214252,-3.6884359984808808*(x-0.6514124869092898)*(x-0.6514124869092898)*(x-0.6514124869092898)-0.012803156390563786*(x-0.6514124869092898)*(x-0.6514124869092898)+0.1152658272400249*(x-0.6514124869092898)+1.0517232418060303
3,iterativefit,central,5,0.0,2.5,30.0,50.0,0.7523250391214252,0.8531187629774574,48.80310241676539*(x-0.7523250391214252)*(x-0.7523250391214252)*(x-0.7523250391214252)-10.185816365708282*(x-0.7523250391214252)*(x-0.7523250391214252)+0.0*(x-0.7523250391214252)+1.0594342947006226
3,iterativefit,central,5,0.0,2.5,30.0,50.0,0.8531187629774574,0.9762870479339232,0.004161783905572744*(x-0.8531187629774574)*(x-0.8531187629774574)*(x-0.8531187629774574)-0.34937509722370197*(x-0.8531187629774574)*(x-0.8531187629774574)-0.5659057020357298*(x-0.8531187629774574)+1.0059272050857544
3,iterativefit,central,5,0.0,2.5,30.0,50.0,0.9762870479339232,1.1,0.9309331774711609
3,iterativefit,central,5,0.0,2.5,50.0,70.0,-15.0,0.0,1.3297837972640991
3,iterativefit,central,5,0.0,2.5,50.0,70.0,0.0,0.0715615445918787,1.3297837972640991
3,iterativefit,central,5,0.0,2.5,50.0,70.0,0.0715615445918787,0.2396569288336479,-0.054908491854068535*(x-0.07156154459187879)*(x-0.07156154459187879)*(x-0.07156154459187879)+8.556242172673155*(x-0.07156154459187879)*(x-0.07156154459187879)-2.871875138737181*(x-0.07156154459187879)+1.3297837972640991
3,iterativefit,central,5,0.0,2.5,50.0,70.0,0.2396569288336479,0.3198214651620906,-213.7195975920382*(x-0.23965692883364795)*(x-0.23965692883364795)*(x-0.23965692883364795)+25.699098667900653*(x-0.23965692883364795)*(x-0.23965692883364795)+0.0*(x-0.23965692883364795)+1.088539719581604
3,iterativefit,central,5,0.0,2.5,50.0,70.0,0.3198214651620906,0.3996483750451652,373.2093324955203*(x-0.31982146516209065)*(x-0.31982146516209065)*(x-0.31982146516209065)-44.68822162896346*(x-0.31982146516209065)*(x-0.31982146516209065)+0.0*(x-0.31982146516209065)+1.1435902118682861
3,iterativefit,central,5,0.0,2.5,50.0,70.0,0.3996483750451652,0.4904260497552993,-222.24178301703523*(x-0.3996483750451652)*(x-0.3996483750451652)*(x-0.3996483750451652)+30.261888428580942*(x-0.3996483750451652)*(x-0.3996483750451652)+0.0*(x-0.3996483750451652)+1.0486674308776855
3,iterativefit,central,5,0.0,2.5,50.0,70.0,0.4904260497552993,0.5896786211779466,124.55261747442921*(x-0.4904260497552993)*(x-0.4904260497552993)*(x-0.4904260497552993)-18.86148832495931*(x-0.4904260497552993)*(x-0.4904260497552993)+0.0*(x-0.4904260497552993)+1.131792664527893
3,iterativefit,central,5,0.0,2.5,50.0,70.0,0.5896786211779466,0.6914651968634925,-5.581940505210077*(x-0.5896786211779466)*(x-0.5896786211779466)*(x-0.5896786211779466)+0.8638048797609827*(x-0.5896786211779466)*(x-0.5896786211779466)-0.06317167763441196*(x-0.5896786211779466)+1.0677673816680908
3,iterativefit,central,5,0.0,2.5,50.0,70.0,0.6914651968634925,0.7922338708834157,66.95031355409226*(x-0.6914651968634925)*(x-0.6914651968634925)*(x-0.6914651968634925)-9.817964182036253*(x-0.6914651968634925)*(x-0.6914651968634925)-0.06081939695419384*(x-0.6914651968634925)+1.064400315284729
3,iterativefit,central,5,0.0,2.5,50.0,70.0,0.7922338708834157,0.8835744208414839,-1.4654334999950087*(x-0.7922338708834157)*(x-0.7922338708834157)*(x-0.7922338708834157)+0.20078025272478117*(x-0.7922338708834157)*(x-0.7922338708834157)+0.0*(x-0.7922338708834157)+1.027082920074463
3,iterativefit,central,5,0.0,2.5,50.0,70.0,0.8835744208414839,0.9816359426737769,37.3559995076331*(x-0.8835744208414839)*(x-0.8835744208414839)*(x-0.8835744208414839)-11.326027854895463*(x-0.8835744208414839)*(x-0.8835744208414839)+0.0*(x-0.8835744208414839)+1.0276412963867188
3,iterativefit,central,5,0.0,2.5,50.0,70.0,0.9816359426737769,1.1,0.9539549350738525
3,iterativefit,central,5,0.0,2.5,70.0,100.0,-15.0,0.0,1.3646798133850098
3,iterativefit,central,5,0.0,2.5,70.0,100.0,0.0,0.0777983099646328,1.3646798133850098
3,iterativefit,central,5,0.0,2.5,70.0,100.0,0.0777983099646328,0.2596402402875571,2.1374956536637337*(x-0.07779830996463287)*(x-0.07779830996463287)*(x-0.07779830996463287)+2.7672065208939514*(x-0.07779830996463287)*(x-0.07779830996463287)-1.8834580993712329*(x-0.07779830996463287)+1.3646798133850098
3,iterativefit,central,5,0.0,2.5,70.0,100.0,0.2596402402875571,0.3400342101310843,46.255911844239876*(x-0.25964024028755717)*(x-0.25964024028755717)*(x-0.25964024028755717)-1.441967394344764*(x-0.25964024028755717)*(x-0.25964024028755717)-0.6650313279162515*(x-0.25964024028755717)+1.1265424489974976
3,iterativefit,central,5,0.0,2.5,70.0,100.0,0.3400342101310843,0.4302394171949522,-64.68340454932736*(x-0.3400342101310843)*(x-0.3400342101310843)*(x-0.3400342101310843)+8.752169851452011*(x-0.3400342101310843)*(x-0.3400342101310843)+0.0*(x-0.3400342101310843)+1.0877928733825684
3,iterativefit,central,5,0.0,2.5,70.0,100.0,0.4302394171949522,0.5313852443534604,66.97900614524488*(x-0.4302394171949522)*(x-0.4302394171949522)*(x-0.4302394171949522)-10.96635300236479*(x-0.4302394171949522)*(x-0.4302394171949522)+0.0*(x-0.4302394171949522)+1.1115316152572632
3,iterativefit,central,5,0.0,2.5,70.0,100.0,0.5313852443534604,0.6310413741861315,-11.438088680841044*(x-0.5313852443534604)*(x-0.5313852443534604)*(x-0.5313852443534604)+1.760507598282688*(x-0.5313852443534604)*(x-0.5313852443534604)-0.16271987353517728*(x-0.5313852443534604)+1.0686484575271606
3,iterativefit,central,5,0.0,2.5,70.0,100.0,0.6310413741861315,0.7214631809774499,55.50056773233177*(x-0.6310413741861315)*(x-0.6310413741861315)*(x-0.6310413741861315)-6.683781425785316*(x-0.6310413741861315)*(x-0.6310413741861315)-0.15261591345596667*(x-0.6310413741861315)+1.058596134185791
3,iterativefit,central,5,0.0,2.5,70.0,100.0,0.7214631809774499,0.8017655466322404,-19.881437055592205*(x-0.7214631809774499)*(x-0.7214631809774499)*(x-0.7214631809774499)+2.394789642271301*(x-0.7214631809774499)*(x-0.7214631809774499)+0.0*(x-0.7214631809774499)+1.031180500984192
3,iterativefit,central,5,0.0,2.5,70.0,100.0,0.8017655466322404,0.8836196865046071,16.993061165790845*(x-0.8017655466322404)*(x-0.8017655466322404)*(x-0.8017655466322404)-3.892868877117033*(x-0.8017655466322404)*(x-0.8017655466322404)+0.0*(x-0.8017655466322404)+1.0363280773162842
3,iterativefit,central,5,0.0,2.5,70.0,100.0,0.8836196865046071,0.9822468767503258,7.238746500969122*(x-0.8836196865046071)*(x-0.8836196865046071)*(x-0.8836196865046071)-3.3990714069994596*(x-0.8836196865046071)*(x-0.8836196865046071)-0.295729228871862*(x-0.8836196865046071)+1.0195649862289429
3,iterativefit,central,5,0.0,2.5,70.0,100.0,0.9822468767503258,1.1,0.9642788767814637
3,iterativefit,central,5,0.0,2.5,100.0,140.0,-15.0,0.0,1.4526934623718262
3,iterativefit,central,5,0.0,2.5,100.0,140.0,0.0,0.0783601490768778,1.4526934623718262
3,iterativefit,central,5,0.0,2.5,100.0,140.0,0.0783601490768778,0.259934718649866,4.79230220119341*(x-0.07836014907687784)*(x-0.07836014907687784)*(x-0.07836014907687784)+3.6556762796970017*(x-0.07836014907687784)*(x-0.07836014907687784)-2.6282881555429403*(x-0.07836014907687784)+1.4526934623718262
3,iterativefit,central,5,0.0,2.5,100.0,140.0,0.259934718649866,0.3500321248073843,16.129270266708875*(x-0.25993471864986606)*(x-0.25993471864986606)*(x-0.25993471864986606)+1.3189849686679838*(x-0.25993471864986606)*(x-0.25993471864986606)-0.8267355651058511*(x-0.25993471864986606)+1.1246769428253174
3,iterativefit,central,5,0.0,2.5,100.0,140.0,0.3500321248073843,0.4503837754907752,3.6580501930233518*(x-0.3500321248073843)*(x-0.3500321248073843)*(x-0.3500321248073843)+0.4272800895123448*(x-0.3500321248073843)*(x-0.3500321248073843)-0.19627120091801648*(x-0.3500321248073843)+1.0726935863494873
3,iterativefit,central,5,0.0,2.5,100.0,140.0,0.4503837754907752,0.5509985709732895,-122.93722367363333*(x-0.4503837754907752)*(x-0.4503837754907752)*(x-0.4503837754907752)+18.553955425666107*(x-0.4503837754907752)*(x-0.4503837754907752)+0.0*(x-0.4503837754907752)+1.0609971284866333
3,iterativefit,central,5,0.0,2.5,100.0,140.0,0.5509985709732895,0.6511623371684095,150.40720628490243*(x-0.5509985709732895)*(x-0.5509985709732895)*(x-0.5509985709732895)-22.59802836657323*(x-0.5509985709732895)*(x-0.5509985709732895)+0.0*(x-0.5509985709732895)+1.1236064434051514
3,iterativefit,central,5,0.0,2.5,100.0,140.0,0.6511623371684095,0.7415580391255966,-0.2389611108406015*(x-0.6511623371684095)*(x-0.6511623371684095)*(x-0.6511623371684095)+0.3752878249194912*(x-0.6511623371684095)*(x-0.6511623371684095)+0.0*(x-0.6511623371684095)+1.0480327606201172
3,iterativefit,central,5,0.0,2.5,100.0,140.0,0.7415580391255966,0.8216272383784734,-187.1769049518414*(x-0.7415580391255966)*(x-0.7415580391255966)*(x-0.7415580391255966)+22.093549163956162*(x-0.7415580391255966)*(x-0.7415580391255966)+0.06199088451132426*(x-0.7415580391255966)+1.0509228706359863
3,iterativefit,central,5,0.0,2.5,100.0,140.0,0.8216272383784734,0.9049489245067014,199.63975867291686*(x-0.8216272383784734)*(x-0.8216272383784734)*(x-0.8216272383784734)-30.053185512150836*(x-0.8216272383784734)*(x-0.8216272383784734)+0.0*(x-0.8216272383784734)+1.1014463901519775
3,iterativefit,central,5,0.0,2.5,100.0,140.0,0.9049489245067014,0.985057189427484,7.5454916400790815*(x-0.9049489245067014)*(x-0.9049489245067014)*(x-0.9049489245067014)+1.42540010811665*(x-0.9049489245067014)*(x-0.9049489245067014)-0.8501650831349791*(x-0.9049489245067014)+1.0082858800888062
3,iterativefit,central,5,0.0,2.5,100.0,140.0,0.985057189427484,1.1,0.9532068967819214
3,iterativefit,central,5,0.0,2.5,140.0,10000.0,-15.0,0.0,1.5634381771087646
3,iterativefit,central,5,0.0,2.5,140.0,10000.0,0.0,0.0787703808305453,1.5634381771087646
3,iterativefit,central,5,0.0,2.5,140.0,10000.0,0.0787703808305453,0.2591281069259361,19.170441566493395*(x-0.07877038083054533)*(x-0.07877038083054533)*(x-0.07877038083054533)+4.612831918130814*(x-0.07877038083054533)*(x-0.07877038083054533)-3.79138500807332*(x-0.07877038083054533)+1.5634381771087646
3,iterativefit,central,5,0.0,2.5,140.0,10000.0,0.2591281069259361,0.3496346426970847,-13.69017378838435*(x-0.25912810692593613)*(x-0.25912810692593613)*(x-0.25912810692593613)+2.4193804269777934*(x-0.25912810692593613)*(x-0.25912810692593613)-0.25668458838949626*(x-0.25912810692593613)+1.1421529054641724
3,iterativefit,central,5,0.0,2.5,140.0,10000.0,0.3496346426970847,0.4506232607912235,-5.554197665454718*(x-0.3496346426970847)*(x-0.3496346426970847)*(x-0.3496346426970847)+0.5022356157877081*(x-0.3496346426970847)*(x-0.3496346426970847)-0.1551715308209329*(x-0.3496346426970847)+1.1285898685455322
3,iterativefit,central,5,0.0,2.5,140.0,10000.0,0.4506232607912235,0.5510047411993655,18.69596686346128*(x-0.45062326079122356)*(x-0.45062326079122356)*(x-0.45062326079122356)-3.287145975346114*(x-0.45062326079122356)*(x-0.45062326079122356)-0.22366817282621937*(x-0.45062326079122356)+1.112320899963379
3,iterativefit,central,5,0.0,2.5,140.0,10000.0,0.5510047411993655,0.6513234253488033,18.133034693066694*(x-0.5510047411993655)*(x-0.5510047411993655)*(x-0.5510047411993655)-1.4585562004561587*(x-0.5510047411993655)*(x-0.5510047411993655)-0.318438876205553*(x-0.5510047411993655)+1.075656771659851
3,iterativefit,central,5,0.0,2.5,140.0,10000.0,0.6513234253488033,0.7416938918635089,-7.045777493587203*(x-0.6513234253488033)*(x-0.6513234253488033)*(x-0.6513234253488033)+0.9379952088701554*(x-0.6513234253488033)*(x-0.6513234253488033)-0.06361596179580258*(x-0.6513234253488033)+1.047339677810669
3,iterativefit,central,5,0.0,2.5,140.0,10000.0,0.7416938918635089,0.8215976132841597,93.83660551794026*(x-0.7416938918635089)*(x-0.7416938918635089)*(x-0.7416938918635089)-10.82942207352478*(x-0.7416938918635089)*(x-0.7416938918635089)-0.06670664796510552*(x-0.7416938918635089)+1.0440510511398315
3,iterativefit,central,5,0.0,2.5,140.0,10000.0,0.8215976132841597,0.9049861946964872,-106.70821725894378*(x-0.8215976132841597)*(x-0.8215976132841597)*(x-0.8215976132841597)+13.34737029339263*(x-0.8215976132841597)*(x-0.8215976132841597)+0.0*(x-0.8215976132841597)+1.0174504518508911
3,iterativefit,central,5,0.0,2.5,140.0,10000.0,0.9049861946964872,0.9848370895185516,102.99630303183959*(x-0.9049861946964871)*(x-0.9049861946964871)*(x-0.9049861946964871)-28.773253688733927*(x-0.9049861946964871)*(x-0.9049861946964871)+0.0*(x-0.9049861946964871)+1.048388123512268
3,iterativefit,central,5,0.0,2.5,140.0,10000.0,0.9848370895185516,1.1,0.9173648953437805
3,iterativefit,central,0,0.0,0.8,20.0,30.0,-15.0,0.0,0.917384684085846
3,iterativefit,central,0,0.0,0.8,20.0,30.0,0.0,0.01,0.917384684085846
3,iterativefit,central,0,0.0,0.8,20.0,30.0,0.01,0.03,-10039.072297070545*(x-0.01)*(x-0.01)*(x-0.01)-68.69376452548838*(x-0.01)*(x-0.01)+14.794637337504184*(x-0.01)+0.917384684085846
3,iterativefit,central,0,0.0,0.8,20.0,30.0,0.03,0.05695492818463901,8940.815838056204*(x-0.03)*(x-0.03)*(x-0.03)-361.4985732403321*(x-0.03)*(x-0.03)+0.0*(x-0.03)+1.10548734664917
3,iterativefit,central,0,0.0,0.8,20.0,30.0,0.05695492818463901,0.104493449860601,-597.2408838487493*(x-0.056954928184639014)*(x-0.056954928184639014)*(x-0.056954928184639014)+51.39998347802796*(x-0.056954928184639014)*(x-0.056954928184639014)+0.0*(x-0.056954928184639014)+1.0179362297058105
3,iterativefit,central,0,0.0,0.8,20.0,30.0,0.104493449860601,0.2014352227718846,13.001153244050323*(x-0.10449344986060105)*(x-0.10449344986060105)*(x-0.10449344986060105)-3.2250287370823507*(x-0.10449344986060105)*(x-0.10449344986060105)+0.8378246509625225*(x-0.10449344986060105)+1.0699323415756226
3,iterativefit,central,0,0.0,0.8,20.0,30.0,0.2014352227718846,0.4521948064896212,-0.4639159718894339*(x-0.20143522277188466)*(x-0.20143522277188466)*(x-0.20143522277188466)-0.17074156440776284*(x-0.20143522277188466)*(x-0.20143522277188466)+0.5790877436596656*(x-0.20143522277188466)+1.132689118385315
3,iterativefit,central,0,0.0,0.8,20.0,30.0,0.4521948064896212,1.1,1.2598496675491333
3,iterativefit,central,0,0.8,1.6,20.0,30.0,-15.0,0.0,0.9337101578712463
3,iterativefit,central,0,0.8,1.6,20.0,30.0,0.0,0.01,0.9337101578712463
3,iterativefit,central,0,0.8,1.6,20.0,30.0,0.01,0.0366885522579225,-3233.116807969329*(x-0.01)*(x-0.01)*(x-0.01)-47.33426938449446*(x-0.01)*(x-0.01)+9.435208134575397*(x-0.01)+0.9337101578712463
3,iterativefit,central,0,0.8,1.6,20.0,30.0,0.0366885522579225,0.0771385058211509,3791.839949494488*(x-0.03668855225792251)*(x-0.03668855225792251)*(x-0.03668855225792251)-230.06962481436983*(x-0.03668855225792251)*(x-0.03668855225792251)+0.0*(x-0.03668855225792251)+1.0903464555740356
3,iterativefit,central,0,0.8,1.6,20.0,30.0,0.0771385058211509,0.1248828022872384,-1671.9369426590013*(x-0.07713850582115096)*(x-0.07713850582115096)*(x-0.07713850582115096)+129.18275913139317*(x-0.07713850582115096)*(x-0.07713850582115096)+0.0*(x-0.07713850582115096)+0.964866578578949
3,iterativefit,central,0,0.8,1.6,20.0,30.0,0.1248828022872384,0.2143167801570299,42.60111017020863*(x-0.12488280228723846)*(x-0.12488280228723846)*(x-0.12488280228723846)-8.152893140572328*(x-0.12488280228723846)*(x-0.12488280228723846)+0.9018496108260743*(x-0.12488280228723846)+1.077377438545227
3,iterativefit,central,0,0.8,1.6,20.0,30.0,0.2143167801570299,0.4471078174591821,-0.3700355805759979*(x-0.21431678015702996)*(x-0.21431678015702996)*(x-0.21431678015702996)-0.1364181833783552*(x-0.21431678015702996)*(x-0.21431678015702996)+0.4657850919011605*(x-0.21431678015702996)+1.1232969760894775
3,iterativefit,central,0,0.8,1.6,20.0,30.0,0.4471078174591821,1.1,1.2196667194366453
3,iterativefit,central,0,1.6,2.5,20.0,30.0,-15.0,0.0,0.9783217310905457
3,iterativefit,central,0,1.6,2.5,20.0,30.0,0.0,0.0190616279871827,0.9783217310905457
3,iterativefit,central,0,1.6,2.5,20.0,30.0,0.0190616279871827,0.0577286875872885,-32.93147812951026*(x-0.019061627987182785)*(x-0.019061627987182785)*(x-0.019061627987182785)-2.667983047104725*(x-0.019061627987182785)*(x-0.019061627987182785)+1.0369483688237535*(x-0.019061627987182785)+0.9783217310905457
3,iterativefit,central,0,1.6,2.5,20.0,30.0,0.0577286875872885,0.1039747610095847,156.69402905626606*(x-0.05772868758728853)*(x-0.05772868758728853)*(x-0.05772868758728853)-10.12315112635794*(x-0.05772868758728853)*(x-0.05772868758728853)+0.6829105911974119*(x-0.05772868758728853)+1.0125246047973633
